URL,Size,OutLinks,ResultType
http://www.keck.usc.edu/anesthesiology/?cat=46,137238,98,text/html; charset=UTF-8
http://www.keck.usc.edu/anesthesiology/faculty/Margaret-Rose-Oliveto/,143879,101,text/html; charset=UTF-8
http://www.keck.usc.edu/surgery/faculty/Lea-Kiku-Matsuoka/,147107,115,text/html; charset=UTF-8
http://www.keck.usc.edu/anesthesiology/?cat=45,140110,99,text/html; charset=UTF-8
http://www.keck.usc.edu/events-2/2016-03-16/?ajaxCalendar=1&mo=4&yr=2016,152241,105,text/html; charset=UTF-8
http://www.keck.usc.edu/events-2/2016-04-23/,151419,104,text/html; charset=UTF-8
http://www.keck.usc.edu/events/jane-anne-nohl-division-of-hematology-grand-rounds-dennis-weisenburger-md/,141142,96,text/html; charset=UTF-8
http://www.keck.usc.edu/surgery/faculty/Winfield-John-Wells/,165286,177,text/html; charset=UTF-8
http://www.keck.usc.edu/anesthesiology/?cat=43,139987,98,text/html; charset=UTF-8
http://www.keck.usc.edu/anesthesiology/?cat=42,150037,106,text/html; charset=UTF-8
http://keck.usc.edu/Education/Academic_Department_and_Divisions/Department_of_Molecular_Microbiology_and_Immunology/Education_and_Training/MS_Program.aspx,68429,189,text/html; charset=utf-8
http://keck.usc.edu/Research/Facilities_and_Resources/Imaging/Molecular_Imaging_Center.aspx,68346,197,text/html; charset=utf-8
http://www.keck.usc.edu/wp-content/uploads/2015/04/Agenda-12-18-12.pdf,179136,0,application/pdf
